time,agv_id,status,task_id,shelf_id,pos,is_loaded
2025-07-01 00:01:51,3F_AGV_105,IDLE,NONE,NONE,"(23, 23)",False
2025-07-01 00:01:51,3F_AGV_106,IDLE,NONE,NONE,"(30, 39)",False
2025-07-01 00:01:51,3F_AGV_107,IDLE,NONE,NONE,"(18, 48)",False
2025-07-01 00:01:51,3F_AGV_108,IDLE,NONE,NONE,"(10, 38)",False
2025-07-01 00:01:51,3F_AGV_109,IDLE,NONE,NONE,"(1, 14)",False
2025-07-01 00:01:51,3F_AGV_110,IDLE,NONE,NONE,"(6, 35)",False
2025-07-01 00:01:51,3F_AGV_111,IDLE,NONE,NONE,"(5, 59)",False
2025-07-01 00:01:51,3F_AGV_112,IDLE,NONE,NONE,"(9, 20)",False
2025-07-01 00:01:51,3F_AGV_113,IDLE,NONE,NONE,"(4, 11)",False
2025-07-01 00:01:51,3F_AGV_114,IDLE,NONE,NONE,"(18, 14)",False
2025-07-01 00:01:51,3F_AGV_115,IDLE,NONE,NONE,"(24, 32)",False
2025-07-01 00:01:51,3F_AGV_116,IDLE,NONE,NONE,"(14, 12)",False
2025-07-01 00:01:51,3F_AGV_117,IDLE,NONE,NONE,"(5, 53)",False
2025-07-01 00:01:51,3F_AGV_118,IDLE,NONE,NONE,"(21, 16)",False
2025-07-01 00:01:51,3F_AGV_119,IDLE,NONE,NONE,"(5, 13)",False
2025-07-01 00:01:51,3F_AGV_120,IDLE,NONE,NONE,"(1, 47)",False
2025-07-01 00:01:51,3F_AGV_121,IDLE,NONE,NONE,"(14, 45)",False
2025-07-01 00:01:51,3F_AGV_122,IDLE,NONE,NONE,"(17, 36)",False
2025-07-01 00:01:51,3F_AGV_123,IDLE,NONE,NONE,"(16, 44)",False
2025-07-01 00:01:51,3F_AGV_124,IDLE,NONE,NONE,"(17, 29)",False
2025-07-01 00:01:51,3F_AGV_125,IDLE,NONE,NONE,"(13, 41)",False
2025-07-01 00:01:51,3F_AGV_126,IDLE,NONE,NONE,"(13, 13)",False
2025-07-01 00:01:51,3F_AGV_127,IDLE,NONE,NONE,"(5, 32)",False
2025-07-01 00:01:51,3F_AGV_128,IDLE,NONE,NONE,"(6, 54)",False
2025-07-01 00:01:51,3F_AGV_129,IDLE,NONE,NONE,"(13, 47)",False
2025-07-01 00:01:51,3F_AGV_130,IDLE,NONE,NONE,"(12, 27)",False
2025-07-01 00:01:51,3F_AGV_131,IDLE,NONE,NONE,"(6, 10)",False
2025-07-01 00:01:51,3F_AGV_132,IDLE,NONE,NONE,"(12, 37)",False
2025-07-01 00:01:51,3F_AGV_133,IDLE,NONE,NONE,"(1, 32)",False
2025-07-01 00:01:51,3F_AGV_134,IDLE,NONE,NONE,"(20, 33)",False
2025-07-01 00:01:51,3F_AGV_135,IDLE,NONE,NONE,"(14, 39)",False
2025-07-01 00:01:51,3F_AGV_136,IDLE,NONE,NONE,"(13, 55)",False
2025-07-01 00:01:51,3F_AGV_137,IDLE,NONE,NONE,"(28, 35)",False
2025-07-01 00:01:51,3F_AGV_138,IDLE,NONE,NONE,"(5, 15)",False
2025-07-01 00:01:51,3F_AGV_139,IDLE,NONE,NONE,"(16, 41)",False
2025-07-01 00:01:51,3F_AGV_140,IDLE,NONE,NONE,"(2, 52)",False
2025-07-01 00:01:51,3F_AGV_141,IDLE,NONE,NONE,"(24, 46)",False
2025-07-01 00:01:51,3F_AGV_142,IDLE,NONE,NONE,"(21, 35)",False
2025-07-01 00:01:51,3F_AGV_143,IDLE,NONE,NONE,"(30, 35)",False
2025-07-01 00:01:51,3F_AGV_144,IDLE,NONE,NONE,"(20, 41)",False
2025-07-01 00:01:51,3F_AGV_145,IDLE,NONE,NONE,"(16, 37)",False
2025-07-01 00:01:51,3F_AGV_146,IDLE,NONE,NONE,"(1, 44)",False
2025-07-01 00:01:51,3F_AGV_147,IDLE,NONE,NONE,"(4, 38)",False
2025-07-01 00:01:51,3F_AGV_148,IDLE,NONE,NONE,"(16, 57)",False
2025-07-01 00:01:51,3F_AGV_149,IDLE,NONE,NONE,"(16, 56)",False
2025-07-01 00:01:51,3F_AGV_150,IDLE,NONE,NONE,"(12, 26)",False
2025-07-01 00:01:51,3F_AGV_151,IDLE,NONE,NONE,"(24, 39)",False
2025-07-01 00:01:51,3F_AGV_152,IDLE,NONE,NONE,"(14, 55)",False
2025-07-01 00:01:51,3F_AGV_153,IDLE,NONE,NONE,"(12, 20)",False
2025-07-01 00:01:51,3F_AGV_154,IDLE,NONE,NONE,"(26, 33)",False
2025-07-01 00:01:51,3F_AGV_155,IDLE,NONE,NONE,"(8, 36)",False
2025-07-01 00:01:51,3F_AGV_156,IDLE,NONE,NONE,"(4, 44)",False
2025-07-01 00:01:51,3F_AGV_157,IDLE,NONE,NONE,"(23, 26)",False
2025-07-01 00:01:51,3F_AGV_158,IDLE,NONE,NONE,"(12, 33)",False
2025-07-01 00:01:51,3F_AGV_159,IDLE,NONE,NONE,"(16, 45)",False
2025-07-01 00:01:51,3F_AGV_160,IDLE,NONE,NONE,"(12, 9)",False
2025-07-01 00:01:51,3F_AGV_161,IDLE,NONE,NONE,"(10, 47)",False
2025-07-01 00:01:51,3F_AGV_162,IDLE,NONE,NONE,"(14, 47)",False
2025-07-01 00:01:51,3F_AGV_163,IDLE,NONE,NONE,"(9, 35)",False
2025-07-01 00:01:51,3F_AGV_164,IDLE,NONE,NONE,"(20, 45)",False
2025-07-01 00:01:51,3F_AGV_165,IDLE,NONE,NONE,"(4, 42)",False
2025-07-01 00:01:51,3F_AGV_166,IDLE,NONE,NONE,"(10, 31)",False
2025-07-01 00:01:51,2F_AGV_1,IDLE,NONE,NONE,"(28, 26)",False
2025-07-01 00:01:51,2F_AGV_2,IDLE,NONE,NONE,"(23, 13)",False
